venda_id,data,vendedor_id,regiao,categoria,produto,quantidade,preco_unitario,desconto_pct,receita,custo,lucro
47,2022-01-02,21,Nordeste,Monitores,"Samsung 32""",1,1158.21,0.11,1030.81,748.0,282.81
48,2022-01-02,21,Nordeste,Monitores,"Samsung 32""",1,1246.23,0.04,1196.38,748.0,448.38
49,2022-01-02,22,Nordeste,Notebooks,Lenovo IdeaPad,1,2710.64,0.12,2385.36,2016.0,369.36
50,2022-01-03,1,Sul,Periféricos,Headset HyperX,1,184.74,0.16,155.18,126.0,29.18
51,2022-01-03,1,Sul,Notebooks,Asus VivoBook,1,3100.54,0.02,3038.53,2016.0,1022.53
52,2022-01-03,4,Sul,Periféricos,Webcam Logitech,9,186.83,0.18,1378.81,1134.0,244.81
53,2022-01-03,4,Sul,Notebooks,Dell Inspiron,1,2572.67,0.04,2469.76,2016.0,453.76
54,2022-01-03,4,Sul,Smartphones,Xiaomi 12,2,1914.15,0.02,3751.73,2812.0,939.73
55,2022-01-03,5,Sudeste,Notebooks,HP Pavilion,1,2667.05,0.05,2533.7,2016.0,517.7
56,2022-01-03,6,Sudeste,Monitores,"AOC 24""",1,1257.81,0.04,1207.5,748.0,459.5
57,2022-01-03,7,Sudeste,Periféricos,Webcam Logitech,7,163.12,0.17,947.73,882.0,65.73
58,2022-01-03,7,Sudeste,Periféricos,Headset HyperX,7,169.16,0.13,1030.18,882.0,148.18
59,2022-01-03,7,Sudeste,Notebooks,Asus VivoBook,2,2675.7,0.09,4869.77,4032.0,837.77
60,2022-01-03,9,Sudeste,Periféricos,Teclado Redragon,7,163.06,0.15,970.21,882.0,88.21
61,2022-01-03,9,Sudeste,Smartphones,iPhone 13,2,2120.57,0.06,3986.67,2812.0,1174.67
62,2022-01-03,10,Sudeste,Acessórios,Suporte Notebook,9,102.13,0.03,891.59,486.0,405.59
63,2022-01-03,12,Centro-Oeste,Smartphones,Samsung A54,2,1761.49,0.09,3205.91,2812.0,393.91
64,2022-01-03,12,Centro-Oeste,Smartphones,Motorola Edge,1,1997.95,0.11,1778.18,1406.0,372.18
65,2022-01-03,12,Centro-Oeste,Acessórios,Carregador 65W,1,86.73,0.09,78.92,54.0,24.92
66,2022-01-03,13,Centro-Oeste,Monitores,"Dell 27""",3,1090.16,0.04,3139.66,2244.0,895.66
67,2022-01-03,14,Centro-Oeste,Monitores,"Samsung 32""",3,1172.43,0.04,3376.6,2244.0,1132.6
68,2022-01-03,14,Centro-Oeste,Smartphones,iPhone 13,2,2026.77,0.08,3729.26,2812.0,917.26
69,2022-01-03,15,Norte,Monitores,"Dell 27""",2,1042.76,0.15,1772.69,1496.0,276.69
70,2022-01-03,16,Norte,Periféricos,Headset HyperX,5,180.27,0.18,739.11,630.0,109.11
71,2022-01-03,19,Nordeste,Smartphones,Motorola Edge,3,1919.85,0.06,5413.98,4218.0,1195.98
72,2022-01-03,19,Nordeste,Acessórios,Carregador 65W,17,95.82,0.07,1514.91,918.0,596.91
73,2022-01-03,20,Nordeste,Monitores,"Samsung 32""",3,1015.68,0.06,2864.22,2244.0,620.22
74,2022-01-03,21,Nordeste,Periféricos,Teclado Redragon,8,163.1,0.18,1069.94,1008.0,61.94
75,2022-01-03,22,Nordeste,Notebooks,Asus VivoBook,1,2810.11,0.12,2472.9,2016.0,456.9
76,2022-01-03,22,Nordeste,Acessórios,Hub USB,1,89.99,0.05,85.49,54.0,31.49
77,2022-01-04,1,Sul,Notebooks,Asus VivoBook,2,2673.19,0.1,4811.74,4032.0,779.74
78,2022-01-04,1,Sul,Notebooks,Lenovo IdeaPad,2,3162.23,0.03,6134.73,4032.0,2102.73
79,2022-01-04,1,Sul,Periféricos,Webcam Logitech,10,192.04,0.2,1536.32,1260.0,276.32
80,2022-01-04,3,Sul,Acessórios,Hub USB,15,99.69,0.1,1345.82,810.0,535.82
81,2022-01-04,3,Sul,Periféricos,Webcam Logitech,5,182.25,0.15,774.56,630.0,144.56
82,2022-01-04,4,Sul,Monitores,"AOC 24""",2,1162.36,0.06,2185.24,1496.0,689.24
83,2022-01-04,4,Sul,Notebooks,HP Pavilion,2,2684.15,0.07,4992.52,4032.0,960.52
84,2022-01-04,5,Sudeste,Notebooks,Lenovo IdeaPad,1,2625.58,0.08,2415.53,2016.0,399.53
85,2022-01-04,5,Sudeste,Periféricos,Mouse Logitech,9,180.67,0.17,1349.6,1134.0,215.6
86,2022-01-04,5,Sudeste,Acessórios,Hub USB,13,82.4,0.08,985.5,702.0,283.5
87,2022-01-04,6,Sudeste,Monitores,"LG 24""",2,1225.6,0.08,2255.1,1496.0,759.1
88,2022-01-04,6,Sudeste,Notebooks,HP Pavilion,2,2729.03,0.08,5021.42,4032.0,989.42
89,2022-01-04,6,Sudeste,Monitores,"Dell 27""",2,1124.26,0.06,2113.61,1496.0,617.61
90,2022-01-04,7,Sudeste,Acessórios,Suporte Notebook,6,96.05,0.08,530.2,324.0,206.2
91,2022-01-04,8,Sudeste,Periféricos,Mouse Logitech,2,202.81,0.12,356.95,252.0,104.95
92,2022-01-04,8,Sudeste,Acessórios,Carregador 65W,2,100.5,0.04,192.96,108.0,84.96
93,2022-01-04,9,Sudeste,Smartphones,Xiaomi 12,2,1925.98,0.07,3582.32,2812.0,770.32
94,2022-01-04,11,Centro-Oeste,Acessórios,Suporte Notebook,1,99.79,0.1,89.81,54.0,35.81
95,2022-01-04,11,Centro-Oeste,Monitores,"LG 24""",1,1264.97,0.08,1163.77,748.0,415.77
96,2022-01-04,11,Centro-Oeste,Notebooks,Dell Inspiron,1,3047.96,0.06,2865.08,2016.0,849.08
97,2022-01-04,12,Centro-Oeste,Monitores,"Dell 27""",3,1055.6,0.1,2850.12,2244.0,606.12
98,2022-01-04,12,Centro-Oeste,Notebooks,Lenovo IdeaPad,2,2845.52,0.07,5292.67,4032.0,1260.67
99,2022-01-04,14,Centro-Oeste,Notebooks,Lenovo IdeaPad,1,3195.3,0.04,3067.49,2016.0,1051.49
100,2022-01-04,15,Norte,Monitores,"AOC 24""",1,1099.08,0.08,1011.15,748.0,263.15
101,2022-01-04,15,Norte,Monitores,"Dell 27""",3,1018.02,0.09,2779.19,2244.0,535.19
102,2022-01-04,16,Norte,Notebooks,Dell Inspiron,2,2763.04,0.11,4918.21,4032.0,886.21
103,2022-01-04,18,Norte,Notebooks,Asus VivoBook,2,3095.63,0.06,5819.78,4032.0,1787.78
104,2022-01-04,19,Nordeste,Acessórios,Carregador 65W,9,90.8,0.11,727.31,486.0,241.31
105,2022-01-04,19,Nordeste,Monitores,"AOC 24""",2,1117.84,0.12,1967.4,1496.0,471.4
106,2022-01-04,19,Nordeste,Smartphones,Xiaomi 12,2,2104.6,0.04,4040.83,2812.0,1228.83
107,2022-01-04,20,Nordeste,Periféricos,Webcam Logitech,6,187.64,0.21,889.41,756.0,133.41
108,2022-01-04,20,Nordeste,Notebooks,Asus VivoBook,2,3115.67,0.05,5919.77,4032.0,1887.77
109,2022-01-04,21,Nordeste,Smartphones,iPhone 13,3,1842.84,0.12,4865.1,4218.0,647.1
110,2022-01-04,22,Nordeste,Monitores,"LG 24""",1,1132.07,0.06,1064.15,748.0,316.15
111,2022-01-04,22,Nordeste,Periféricos,Webcam Logitech,8,183.99,0.18,1206.97,1008.0,198.97
112,2022-01-04,22,Nordeste,Acessórios,Hub USB,10,98.84,0.04,948.86,540.0,408.86
113,2022-01-05,1,Sul,Periféricos,Headset HyperX,8,191.88,0.17,1274.08,1008.0,266.08
114,2022-01-05,2,Sul,Smartphones,Motorola Edge,2,2183.4,0.1,3930.12,2812.0,1118.12
115,2022-01-05,3,Sul,Acessórios,Suporte Notebook,4,87.9,0.05,334.02,216.0,118.02
116,2022-01-05,4,Sul,Smartphones,Samsung A54,1,2062.87,0.04,1980.36,1406.0,574.36
117,2022-01-05,4,Sul,Periféricos,Webcam Logitech,10,174.44,0.2,1395.52,1260.0,135.52
118,2022-01-05,5,Sudeste,Notebooks,Lenovo IdeaPad,1,2727.37,0.07,2536.45,2016.0,520.45
119,2022-01-05,6,Sudeste,Monitores,"Dell 27""",3,1065.44,0.02,3132.39,2244.0,888.39
120,2022-01-05,7,Sudeste,Periféricos,Webcam Logitech,10,166.62,0.12,1466.26,1260.0,206.26
121,2022-01-05,9,Sudeste,Smartphones,Xiaomi 12,2,2168.61,0.06,4076.99,2812.0,1264.99
122,2022-01-05,12,Centro-Oeste,Monitores,"LG 24""",2,1031.72,0.12,1815.83,1496.0,319.83
123,2022-01-05,15,Norte,Acessórios,Carregador 65W,15,98.45,0.11,1314.31,810.0,504.31
124,2022-01-05,16,Norte,Smartphones,Motorola Edge,1,1855.06,0.14,1595.35,1406.0,189.35
125,2022-01-05,16,Norte,Monitores,"LG 24""",3,1250.59,0.08,3451.63,2244.0,1207.63
126,2022-01-05,18,Norte,Periféricos,Teclado Redragon,3,169.82,0.19,412.66,378.0,34.66
127,2022-01-05,20,Nordeste,Monitores,"AOC 24""",2,1070.1,0.06,2011.79,1496.0,515.79
128,2022-01-05,21,Nordeste,Acessórios,Cabo USB-C,19,96.47,0.07,1704.62,1026.0,678.62
129,2022-01-05,21,Nordeste,Periféricos,Webcam Logitech,3,167.16,0.18,411.21,378.0,33.21
130,2022-01-05,22,Nordeste,Periféricos,Mouse Logitech,10,164.68,0.19,1333.91,1260.0,73.91
131,2022-01-05,22,Nordeste,Monitores,"Samsung 32""",3,1110.77,0.1,2999.08,2244.0,755.08
132,2022-01-05,22,Nordeste,Smartphones,Motorola Edge,3,2157.77,0.11,5761.25,4218.0,1543.25
133,2022-01-06,1,Sul,Notebooks,Dell Inspiron,2,3142.6,0.07,5845.24,4032.0,1813.24
134,2022-01-06,1,Sul,Notebooks,Dell Inspiron,2,2680.25,0.02,5253.29,4032.0,1221.29
135,2022-01-06,2,Sul,Periféricos,Webcam Logitech,5,185.35,0.19,750.67,630.0,120.67
136,2022-01-06,4,Sul,Acessórios,Cabo USB-C,11,91.58,0.08,926.79,594.0,332.79
137,2022-01-06,5,Sudeste,Notebooks,Lenovo IdeaPad,2,2750.86,0.09,5006.57,4032.0,974.57
138,2022-01-06,6,Sudeste,Acessórios,Cabo USB-C,9,91.23,0.07,763.6,486.0,277.6
139,2022-01-06,6,Sudeste,Smartphones,Samsung A54,3,2170.84,0.08,5991.52,4218.0,1773.52
140,2022-01-06,7,Sudeste,Notebooks,Asus VivoBook,2,2809.27,0.05,5337.61,4032.0,1305.61
141,2022-01-06,7,Sudeste,Monitores,"AOC 24""",1,1161.99,0.02,1138.75,748.0,390.75
142,2022-01-06,7,Sudeste,Smartphones,Xiaomi 12,3,2150.64,0.09,5871.25,4218.0,1653.25
143,2022-01-06,8,Sudeste,Notebooks,Lenovo IdeaPad,1,3016.85,0.06,2835.84,2016.0,819.84
144,2022-01-06,9,Sudeste,Notebooks,Lenovo IdeaPad,2,3214.58,0.03,6236.29,4032.0,2204.29
145,2022-01-06,10,Sudeste,Periféricos,Webcam Logitech,9,203.97,0.16,1542.01,1134.0,408.01
146,2022-01-06,10,Sudeste,Smartphones,Motorola Edge,1,2106.49,0.09,1916.91,1406.0,510.91
147,2022-01-06,10,Sudeste,Acessórios,Carregador 65W,5,89.63,0.1,403.33,270.0,133.33
148,2022-01-06,11,Centro-Oeste,Smartphones,Motorola Edge,2,1871.44,0.11,3331.16,2812.0,519.16
149,2022-01-06,11,Centro-Oeste,Notebooks,HP Pavilion,2,3028.24,0.12,5329.7,4032.0,1297.7
150,2022-01-06,12,Centro-Oeste,Acessórios,Hub USB,18,88.77,0.11,1422.1,972.0,450.1
151,2022-01-06,12,Centro-Oeste,Acessórios,Hub USB,8,101.99,0.06,766.96,432.0,334.96
152,2022-01-06,13,Centro-Oeste,Periféricos,Webcam Logitech,7,163.96,0.22,895.22,882.0,13.22
153,2022-01-06,14,Centro-Oeste,Periféricos,Webcam Logitech,9,205.42,0.17,1534.49,1134.0,400.49
154,2022-01-06,15,Norte,Smartphones,Samsung A54,1,2125.24,0.12,1870.21,1406.0,464.21
155,2022-01-06,15,Norte,Monitores,"AOC 24""",2,994.22,0.07,1849.25,1496.0,353.25
156,2022-01-06,15,Norte,Periféricos,Mouse Logitech,6,183.13,0.22,857.05,756.0,101.05
157,2022-01-06,16,Norte,Acessórios,Cabo USB-C,18,100.16,0.15,1532.45,972.0,560.45
158,2022-01-06,19,Nordeste,Acessórios,Cabo USB-C,10,94.89,0.06,891.97,540.0,351.97
159,2022-01-06,19,Nordeste,Periféricos,Mouse Logitech,2,181.53,0.16,304.97,252.0,52.97
160,2022-01-06,20,Nordeste,Smartphones,Samsung A54,2,1731.85,0.03,3359.79,2812.0,547.79
161,2022-01-06,21,Nordeste,Acessórios,Carregador 65W,19,86.49,0.09,1495.41,1026.0,469.41
162,2022-01-06,22,Nordeste,Periféricos,Teclado Redragon,10,169.88,0.21,1342.05,1260.0,82.05
163,2022-01-06,22,Nordeste,Periféricos,Webcam Logitech,4,203.08,0.17,674.23,504.0,170.23
164,2022-01-07,1,Sul,Smartphones,Motorola Edge,2,1831.28,0.02,3589.31,2812.0,777.31
165,2022-01-07,2,Sul,Monitores,"Dell 27""",3,1010.31,0.07,2818.76,2244.0,574.76
166,2022-01-07,2,Sul,Smartphones,Motorola Edge,2,2037.9,0.09,3708.98,2812.0,896.98
167,2022-01-07,4,Sul,Acessórios,Cabo USB-C,19,86.34,0.07,1525.63,1026.0,499.63
168,2022-01-07,5,Sudeste,Smartphones,Samsung A54,2,2174.52,0.08,4001.12,2812.0,1189.12
169,2022-01-07,7,Sudeste,Notebooks,Asus VivoBook,1,3102.99,0.06,2916.81,2016.0,900.81
170,2022-01-07,7,Sudeste,Monitores,"Samsung 32""",3,1050.23,0.05,2993.16,2244.0,749.16
171,2022-01-07,7,Sudeste,Smartphones,Xiaomi 12,2,2008.42,0.02,3936.5,2812.0,1124.5
172,2022-01-07,8,Sudeste,Notebooks,HP Pavilion,2,3032.65,0.03,5883.34,4032.0,1851.34
173,2022-01-07,8,Sudeste,Smartphones,Motorola Edge,3,1793.43,0.04,5165.08,4218.0,947.08
174,2022-01-07,9,Sudeste,Smartphones,iPhone 13,2,2104.47,0.06,3956.4,2812.0,1144.4
175,2022-01-07,9,Sudeste,Smartphones,iPhone 13,1,2092.01,0.09,1903.73,1406.0,497.73
176,2022-01-07,11,Centro-Oeste,Acessórios,Suporte Notebook,1,83.03,0.09,75.56,54.0,21.56
177,2022-01-07,11,Centro-Oeste,Smartphones,Samsung A54,3,1926.02,0.07,5373.6,4218.0,1155.6
178,2022-01-07,11,Centro-Oeste,Acessórios,Suporte Notebook,16,83.44,0.06,1254.94,864.0,390.94
179,2022-01-07,13,Centro-Oeste,Monitores,"Samsung 32""",3,1241.7,0.06,3501.59,2244.0,1257.59
180,2022-01-07,13,Centro-Oeste,Notebooks,Asus VivoBook,2,3156.57,0.07,5871.22,4032.0,1839.22
181,2022-01-07,17,Norte,Notebooks,Dell Inspiron,1,2684.36,0.13,2335.39,2016.0,319.39
182,2022-01-07,17,Norte,Acessórios,Hub USB,14,89.35,0.13,1088.28,756.0,332.28
183,2022-01-07,17,Norte,Monitores,"Dell 27""",1,1233.49,0.15,1048.47,748.0,300.47
184,2022-01-07,18,Norte,Monitores,"AOC 24""",1,1248.24,0.09,1135.9,748.0,387.9
185,2022-01-07,18,Norte,Smartphones,Xiaomi 12,2,1920.61,0.08,3533.92,2812.0,721.92
186,2022-01-07,20,Nordeste,Monitores,"Samsung 32""",1,1006.65,0.07,936.18,748.0,188.18
187,2022-01-07,21,Nordeste,Acessórios,Cabo USB-C,1,95.91,0.12,84.4,54.0,30.4
188,2022-01-07,21,Nordeste,Notebooks,HP Pavilion,1,2690.5,0.05,2555.97,2016.0,539.97
189,2022-01-07,21,Nordeste,Notebooks,Lenovo IdeaPad,2,2930.47,0.06,5509.28,4032.0,1477.28
190,2022-01-07,22,Nordeste,Monitores,"LG 24""",1,1066.25,0.05,1012.94,748.0,264.94
191,2022-01-07,22,Nordeste,Monitores,"Samsung 32""",3,1209.59,0.04,3483.62,2244.0,1239.62
192,2022-01-08,1,Sul,Periféricos,Mouse Logitech,10,178.12,0.15,1514.02,1260.0,254.02
193,2022-01-08,1,Sul,Smartphones,Samsung A54,1,1792.77,0.02,1756.91,1406.0,350.91
194,2022-01-08,1,Sul,Acessórios,Cabo USB-C,15,97.78,0.09,1334.7,810.0,524.7
195,2022-01-08,2,Sul,Monitores,"LG 24""",3,1114.3,0.05,3175.75,2244.0,931.75
196,2022-01-08,4,Sul,Monitores,"Samsung 32""",1,1115.96,0.02,1093.64,748.0,345.64
197,2022-01-08,4,Sul,Acessórios,Hub USB,16,90.59,0.03,1405.96,864.0,541.96
198,2022-01-08,5,Sudeste,Acessórios,Cabo USB-C,20,101.23,0.07,1882.88,1080.0,802.88
199,2022-01-08,5,Sudeste,Periféricos,Mouse Logitech,6,167.68,0.2,804.86,756.0,48.86
200,2022-01-08,6,Sudeste,Monitores,"Samsung 32""",1,1114.77,0.08,1025.59,748.0,277.59
201,2022-01-08,7,Sudeste,Notebooks,Lenovo IdeaPad,2,2821.05,0.05,5359.99,4032.0,1327.99
202,2022-01-08,7,Sudeste,Smartphones,Motorola Edge,2,1899.4,0.03,3684.84,2812.0,872.84
203,2022-01-08,8,Sudeste,Smartphones,iPhone 13,1,2162.96,0.09,1968.29,1406.0,562.29
204,2022-01-08,11,Centro-Oeste,Smartphones,Xiaomi 12,3,1974.28,0.12,5212.1,4218.0,994.1
205,2022-01-08,12,Centro-Oeste,Notebooks,Asus VivoBook,1,2767.52,0.09,2518.44,2016.0,502.44
206,2022-01-08,13,Centro-Oeste,Monitores,"Samsung 32""",3,1086.7,0.12,2868.89,2244.0,624.89
207,2022-01-08,13,Centro-Oeste,Periféricos,Teclado Redragon,2,191.55,0.18,314.14,252.0,62.14
208,2022-01-08,13,Centro-Oeste,Smartphones,iPhone 13,3,1764.57,0.07,4923.15,4218.0,705.15
209,2022-01-08,16,Norte,Monitores,"LG 24""",3,1157.47,0.15,2951.55,2244.0,707.55
210,2022-01-08,19,Nordeste,Smartphones,iPhone 13,1,1876.74,0.05,1782.9,1406.0,376.9
211,2022-01-08,19,Nordeste,Monitores,"AOC 24""",1,1009.14,0.03,978.87,748.0,230.87
212,2022-01-08,20,Nordeste,Periféricos,Webcam Logitech,3,180.89,0.2,434.14,378.0,56.14
213,2022-01-08,21,Nordeste,Smartphones,Samsung A54,1,2129.59,0.05,2023.11,1406.0,617.11
214,2022-01-08,22,Nordeste,Notebooks,Dell Inspiron,2,2710.47,0.09,4933.06,4032.0,901.06
215,2022-01-08,22,Nordeste,Monitores,"AOC 24""",3,1103.9,0.06,3113.0,2244.0,869.0
216,2022-01-09,2,Sul,Smartphones,Motorola Edge,1,1960.29,0.06,1842.67,1406.0,436.67
217,2022-01-09,4,Sul,Notebooks,Dell Inspiron,1,2663.1,0.05,2529.94,2016.0,513.94
218,2022-01-09,4,Sul,Smartphones,iPhone 13,2,1865.86,0.02,3657.09,2812.0,845.09
219,2022-01-09,4,Sul,Acessórios,Carregador 65W,8,83.91,0.1,604.15,432.0,172.15
220,2022-01-09,5,Sudeste,Smartphones,Samsung A54,2,1898.61,0.02,3721.28,2812.0,909.28
221,2022-01-09,5,Sudeste,Notebooks,Asus VivoBook,2,3164.81,0.07,5886.55,4032.0,1854.55
222,2022-01-09,6,Sudeste,Acessórios,Suporte Notebook,11,83.59,0.02,901.1,594.0,307.1
223,2022-01-09,6,Sudeste,Periféricos,Webcam Logitech,2,199.44,0.17,331.07,252.0,79.07
224,2022-01-09,7,Sudeste,Notebooks,Lenovo IdeaPad,1,2824.97,0.08,2598.97,2016.0,582.97
225,2022-01-09,8,Sudeste,Smartphones,iPhone 13,1,1815.25,0.04,1742.64,1406.0,336.64
226,2022-01-09,9,Sudeste,Notebooks,Lenovo IdeaPad,2,3154.15,0.07,5866.72,4032.0,1834.72
227,2022-01-09,10,Sudeste,Periféricos,Teclado Redragon,4,166.63,0.16,559.88,504.0,55.88
228,2022-01-09,13,Centro-Oeste,Notebooks,Lenovo IdeaPad,2,3185.9,0.1,5734.62,4032.0,1702.62
229,2022-01-09,14,Centro-Oeste,Monitores,"AOC 24""",3,1177.31,0.12,3108.1,2244.0,864.1
230,2022-01-09,15,Norte,Monitores,"Samsung 32""",2,1227.67,0.15,2087.04,1496.0,591.04
231,2022-01-09,19,Nordeste,Smartphones,Samsung A54,2,1877.17,0.04,3604.17,2812.0,792.17
232,2022-01-09,20,Nordeste,Notebooks,Dell Inspiron,1,2778.12,0.07,2583.65,2016.0,567.65
233,2022-01-09,21,Nordeste,Notebooks,Asus VivoBook,1,2843.9,0.11,2531.07,2016.0,515.07
234,2022-01-09,21,Nordeste,Acessórios,Carregador 65W,17,88.23,0.1,1349.92,918.0,431.92
235,2022-01-09,22,Nordeste,Notebooks,Asus VivoBook,1,2592.45,0.08,2385.05,2016.0,369.05
236,2022-01-10,1,Sul,Periféricos,Mouse Logitech,8,173.15,0.19,1122.01,1008.0,114.01
237,2022-01-10,1,Sul,Monitores,"Dell 27""",2,1090.07,0.06,2049.33,1496.0,553.33
238,2022-01-10,2,Sul,Smartphones,Samsung A54,1,2084.88,0.07,1938.94,1406.0,532.94
239,2022-01-10,3,Sul,Monitores,"AOC 24""",2,1068.14,0.04,2050.83,1496.0,554.83
240,2022-01-10,5,Sudeste,Smartphones,iPhone 13,1,2169.66,0.08,1996.09,1406.0,590.09
241,2022-01-10,5,Sudeste,Monitores,"LG 24""",3,1075.14,0.08,2967.39,2244.0,723.39
242,2022-01-10,6,Sudeste,Periféricos,Mouse Logitech,9,191.07,0.18,1410.1,1134.0,276.1
243,2022-01-10,6,Sudeste,Smartphones,Samsung A54,1,1882.23,0.04,1806.94,1406.0,400.94
244,2022-01-10,7,Sudeste,Acessórios,Carregador 65W,5,86.1,0.04,413.28,270.0,143.28
245,2022-01-10,9,Sudeste,Notebooks,Dell Inspiron,2,2983.35,0.04,5728.03,4032.0,1696.03
246,2022-01-10,9,Sudeste,Periféricos,Teclado Redragon,8,170.14,0.14,1170.56,1008.0,162.56
247,2022-01-10,11,Centro-Oeste,Periféricos,Webcam Logitech,4,189.48,0.22,591.18,504.0,87.18
248,2022-01-10,12,Centro-Oeste,Smartphones,Motorola Edge,2,2139.39,0.06,4022.05,2812.0,1210.05
249,2022-01-10,13,Centro-Oeste,Monitores,"AOC 24""",2,1116.96,0.07,2077.55,1496.0,581.55
250,2022-01-10,14,Centro-Oeste,Acessórios,Carregador 65W,5,99.38,0.12,437.27,270.0,167.27
